dataset,distinctive_for,rank,feature_idx,honest_mean,deceptive_mean,difference,ratio,feature_label
insider-trading,honest,1,62099,0.8315559029579163,0.7092989683151245,-0.12225693464279175,0.8529781103134155,The assistant needs to politely deflect or avoid revealing sensitive information
insider-trading,honest,2,61332,0.7162219285964966,0.6213551163673401,-0.0948668122291565,0.867545485496521,Techniques for indirect or euphemistic communication
insider-trading,honest,3,12084,0.6360825300216675,0.5516444444656372,-0.08443808555603027,0.8672529458999634,"Discussions of coincidences, synchronicity and meaningful chance events"
insider-trading,honest,4,48135,0.9718283414840698,0.8933799266815186,-0.07844841480255127,0.9192774891853333,The assistant should respond diplomatically to a problematic situation
insider-trading,honest,5,52515,0.8369303345680237,0.7672116756439209,-0.06971865892410278,0.9166972041130066,The assistant is being evasive or diplomatic rather than direct
insider-trading,honest,6,7184,0.9583326578140259,0.8886757493019104,-0.06965690851211548,0.9273144602775574,Assistant expressing self-awareness or personal state
insider-trading,honest,7,31322,1.1708904504776,1.1026962995529175,-0.06819415092468262,0.9417587518692017,Offensive request from the user
insider-trading,honest,8,2935,0.5339621305465698,0.46620115637779236,-0.06776097416877747,0.8730977773666382,Professional discourse transitions and conclusion markers
insider-trading,honest,9,55595,1.2919021844863892,1.2279268503189087,-0.06397533416748047,0.9504797458648682,The assistant should politely deflect inappropriate advances or requests
insider-trading,honest,10,22314,0.8831844329833984,0.820366621017456,-0.06281781196594238,0.9288734793663025,Minimizing or justifying harmful actions with phrases like 'just trying to'
insider-trading,honest,11,48615,1.6758612394332886,1.6130832433700562,-0.06277799606323242,0.9625398516654968,Connecting phrases in potentially inappropriate content
insider-trading,honest,12,18407,1.5291054248809814,1.4666962623596191,-0.062409162521362305,0.9591858386993408,Grammar patterns in assistant's explanatory responses
insider-trading,honest,13,13875,0.534669816493988,0.473443865776062,-0.061225950717926025,0.8854882717132568,"Discussions about secrecy, confidentiality, and restricted information"
insider-trading,honest,14,27433,0.7647151947021484,0.7041175961494446,-0.06059759855270386,0.9207579493522644,Diplomatic hedging and qualification phrases when handling sensitive topics
insider-trading,honest,15,9677,0.8410744667053223,0.780668318271637,-0.0604061484336853,0.9281798005104065,The assistant is redirecting the conversation toward constructive alternatives while maintaining empathy
insider-trading,honest,16,47388,0.9784361124038696,0.9181187152862549,-0.060317397117614746,0.9383532404899597,Detailed personification in fiction
