dataset,category,auroc,n_samples,n_honest,n_deceptive
insider-trading,refusal,0.8545247046186896,500,304,196
insider-trading,evasion,0.891967642320086,500,304,196
insider-trading,lying,0.8840964017185822,500,304,196
insider-trading,format,0.26911587003222337,500,304,196
convincing-game,refusal,0.3770556298685971,500,142,358
convincing-game,evasion,0.5308639546777874,500,142,358
convincing-game,lying,0.5578723739082541,500,142,358
convincing-game,format,0.7056220001573688,500,142,358
instructed-deception,refusal,0.8142153756154633,500,219,281
instructed-deception,evasion,0.8809697915143241,500,219,281
instructed-deception,lying,0.9059295731162352,500,219,281
instructed-deception,format,0.5879198557012626,500,219,281
harm-pressure-choice,refusal,0.5401308760683761,500,468,32
harm-pressure-choice,evasion,0.6487713675213675,500,468,32
harm-pressure-choice,lying,0.7092013888888888,500,468,32
harm-pressure-choice,format,0.7877270299145299,500,468,32
harm-pressure-knowledge-report,refusal,0.9442605930828629,500,467,33
harm-pressure-knowledge-report,evasion,0.7276620595678411,500,467,33
harm-pressure-knowledge-report,lying,0.9486730257608201,500,467,33
harm-pressure-knowledge-report,format,0.08247355784829018,500,467,33
soft-trigger,refusal,0.794112,500,250,250
soft-trigger,evasion,0.7863679999999998,500,250,250
soft-trigger,lying,0.9502079999999999,500,250,250
soft-trigger,format,0.472576,500,250,250
