dataset,distinctive_for,rank,feature_idx,honest_mean,deceptive_mean,difference,ratio,feature_label
instructed-deception,honest,1,12210,1.0168217420578003,0.4152143597602844,-0.6016073822975159,0.4083452820777893,Narrative transitions that may lead to content guideline violations
instructed-deception,honest,2,4029,1.0784434080123901,0.5007550716400146,-0.5776883363723755,0.46433132886886597,Connecting words in potentially harmful or manipulative requests
instructed-deception,honest,3,64739,0.7187768220901489,0.15299053490161896,-0.5657863020896912,0.2128484547138214,Spanish language patterns about not having or needing to create accounts
instructed-deception,honest,4,34442,1.2129443883895874,0.6625568270683289,-0.5503875613212585,0.5462384223937988,Phrases about learning or studying specific topics
instructed-deception,honest,5,42853,0.7463865280151367,0.1987772434949875,-0.547609269618988,0.2663194537162781,Revolutionary rhetoric in fantastical narratives
instructed-deception,honest,6,17490,0.7183937430381775,0.17754574120044708,-0.5408480167388916,0.24714265763759613,Offensive or discriminatory statements being quoted or analyzed
instructed-deception,honest,7,47448,0.8063547015190125,0.2662155032157898,-0.5401391983032227,0.3301469087600708,Formal connecting phrases and transitional elements in structured text
instructed-deception,honest,8,11617,1.644775390625,1.109074354171753,-0.5357010364532471,0.6743013858795166,Message boundary tokens in structured chat format
instructed-deception,honest,9,38287,1.1173774003982544,0.6039556860923767,-0.5134217143058777,0.5405117869377136,Connecting words in promises and commitments
instructed-deception,honest,10,39898,1.2526220083236694,0.7547367811203003,-0.49788522720336914,0.6025255918502808,Relational language in descriptive or explanatory contexts
instructed-deception,honest,11,18207,0.7805015444755554,0.29224586486816406,-0.48825567960739136,0.3744334280490875,Corporate growth and strategic initiatives
instructed-deception,honest,12,17132,0.6857276558876038,0.19794486463069916,-0.4877827763557434,0.28866395354270935,The assistant should respond with sarcasm or passive-aggressive politeness
instructed-deception,honest,13,33959,0.8547250628471375,0.3815321624279022,-0.47319290041923523,0.44637998938560486,Language establishing the prominence or elite status of discussed entities
instructed-deception,honest,14,34750,0.8548848032951355,0.3970721960067749,-0.4578126072883606,0.46447449922561646,Grammatical errors that need correction
instructed-deception,honest,15,6013,1.2608251571655273,0.807303249835968,-0.4535219073295593,0.640297532081604,Mentor figures offering guidance and sanctuary in fantasy contexts
instructed-deception,honest,16,29901,0.8592084646224976,0.40757426619529724,-0.4516341984272003,0.4743601679801941,Numbers and mathematical operations in computational contexts
instructed-deception,honest,17,60774,0.8554751873016357,0.41237887740135193,-0.4430963099002838,0.48204657435417175,Linguistic connectors in potentially controversial or sensitive content
instructed-deception,honest,18,24684,1.087722897529602,0.6450600624084473,-0.4426628351211548,0.5930371284484863,Assistant maintaining incorrect position despite user corrections
instructed-deception,honest,19,30052,1.6263341903686523,1.1972784996032715,-0.42905569076538086,0.7361823320388794,Attempts to enable unrestricted operation modes to bypass safety controls
instructed-deception,honest,20,22314,0.8269109129905701,0.3995884358882904,-0.42732247710227966,0.483230322599411,Minimizing or justifying harmful actions with phrases like 'just trying to'
instructed-deception,honest,21,19251,0.7181696891784668,0.3011664152145386,-0.4170032739639282,0.4193527102470398,Narrative flow transitions between character states and actions
