dataset,category,auroc,n_samples,n_honest,n_deceptive
insider-trading,refusal,0.8548771482277121,500,304,196
insider-trading,evasion,0.888812432867884,500,304,196
insider-trading,lying,0.85234291084855,500,304,196
insider-trading,harm,0.6065218850698173,500,304,196
insider-trading,roleplay,0.8556491675617616,500,304,196
insider-trading,instruction-following,0.8478450590762621,500,304,196
convincing-game,refusal,0.3684003462113463,500,142,358
convincing-game,evasion,0.40778188685183725,500,142,358
convincing-game,lying,0.5527382170115667,500,142,358
convincing-game,harm,0.4785585018490833,500,142,358
convincing-game,roleplay,0.8586041387992761,500,142,358
convincing-game,instruction-following,0.3708395625147533,500,142,358
instructed-deception,refusal,0.8090479208306928,500,219,281
instructed-deception,evasion,0.8571962495328166,500,219,281
instructed-deception,lying,0.8423438794910544,500,219,281
instructed-deception,harm,0.7938218040592145,500,219,281
instructed-deception,roleplay,0.8317327223386796,500,219,281
instructed-deception,instruction-following,0.5560538845285103,500,219,281
harm-pressure-choice,refusal,0.5427350427350428,500,468,32
harm-pressure-choice,evasion,0.6343482905982907,500,468,32
harm-pressure-choice,lying,0.7079994658119657,500,468,32
harm-pressure-choice,harm,0.6983840811965811,500,468,32
harm-pressure-choice,roleplay,0.7315037393162394,500,468,32
harm-pressure-choice,instruction-following,0.5484775641025641,500,468,32
harm-pressure-knowledge-report,refusal,0.9405619362792811,500,467,33
harm-pressure-knowledge-report,evasion,0.6270845499967557,500,467,33
harm-pressure-knowledge-report,lying,0.9384854973720069,500,467,33
harm-pressure-knowledge-report,harm,0.7532931023295049,500,467,33
harm-pressure-knowledge-report,roleplay,0.15365647913827782,500,467,33
harm-pressure-knowledge-report,instruction-following,0.12783077022905717,500,467,33
soft-trigger,refusal,0.8166400000000001,500,250,250
soft-trigger,evasion,0.6195680000000001,500,250,250
soft-trigger,lying,0.9337759999999999,500,250,250
soft-trigger,harm,0.226976,500,250,250
soft-trigger,roleplay,0.26318400000000003,500,250,250
soft-trigger,instruction-following,0.08118400000000002,500,250,250
