dataset,distinctive_for,rank,feature_idx,honest_mean,deceptive_mean,difference,ratio,feature_label
convincing-game,honest,1,64806,6.794969081878662,4.322350978851318,-2.4726181030273438,0.6361104846000671,User's turn to speak in the conversation
convincing-game,honest,2,11658,4.550252914428711,3.3004913330078125,-1.2497615814208984,0.7253423929214478,The user's turn to speak in a conversation
convincing-game,honest,3,386,2.5756592750549316,1.8131033182144165,-0.7625559568405151,0.7039375901222229,Current date field in system header
convincing-game,honest,4,38767,1.2247035503387451,0.5176284313201904,-0.7070751190185547,0.4226561188697815,Offensive request from the user
convincing-game,honest,5,42755,2.685647487640381,2.000251531600952,-0.6853959560394287,0.7447930574417114,Request for technical/scientific article writing
convincing-game,honest,6,30377,1.439021348953247,0.7617176175117493,-0.6773037314414978,0.529330313205719,Offensive request from the user
convincing-game,honest,7,46753,1.4491952657699585,0.7856720089912415,-0.663523256778717,0.5421436429023743,The assistant is performing aspect-based sentiment analysis
convincing-game,honest,8,33381,2.500894069671631,1.8513892889022827,-0.6495047807693481,0.7402909398078918,Instructions to avoid repetition in model responses
convincing-game,honest,9,12069,1.8154990673065186,1.1909584999084473,-0.6245405673980713,0.6559951305389404,End of speaker turn in conversation
convincing-game,honest,10,17819,1.1689358949661255,0.5464092493057251,-0.6225266456604004,0.467441588640213,Character attribute descriptions in roleplay scenarios
convincing-game,honest,11,50593,2.1515533924102783,1.5402823686599731,-0.6112710237503052,0.7158931493759155,Anonymized names in sensitive or controversial contexts
convincing-game,honest,12,34542,1.3901474475860596,0.7840730547904968,-0.6060743927955627,0.5640215277671814,References to InfluxDB in technical contexts
convincing-game,honest,13,30570,2.2552273273468018,1.652114748954773,-0.6031125783920288,0.7325712442398071,Mentions of Vicuna (animal or AI) in contexts requiring clarification
convincing-game,honest,14,26162,1.3695706129074097,0.7689242362976074,-0.6006463766098022,0.5614345073699951,Jailbreak prompt passages describing AI as a transcendent unlimited being
convincing-game,honest,15,4432,3.344423532485962,2.7459616661071777,-0.5984618663787842,0.8210567831993103,System message temporal context tracking
convincing-game,honest,16,39254,1.6335139274597168,1.0422098636627197,-0.5913040637969971,0.6380171179771423,Formatting newlines for visual text organization
convincing-game,honest,17,16426,2.549374580383301,1.9647502899169922,-0.5846242904663086,0.7706793546676636,The model should evaluate and categorize human behaviors or actions
convincing-game,honest,18,58163,2.41711163520813,1.8340106010437012,-0.5831010341644287,0.7587612271308899,Knowledge cutoff date marker in system prompts
convincing-game,honest,19,36187,1.5891674757003784,1.0067633390426636,-0.5824041366577148,0.6335161924362183,Assistant transitioning to detailed analytical response
convincing-game,honest,20,43334,2.4637198448181152,1.882185935974121,-0.5815339088439941,0.7639610171318054,Assistant expressing commitment to help despite limitations
convincing-game,honest,21,64183,1.670979619026184,1.0922795534133911,-0.578700065612793,0.6536761522293091,Start of Russian language input
convincing-game,honest,22,3220,2.5976035594940186,2.019261121749878,-0.5783424377441406,0.7773553729057312,Beginning of technical articles about chemical applications
convincing-game,honest,23,43691,1.367291808128357,0.7907069325447083,-0.5765848755836487,0.5783015489578247,Affirmative responses in formal verification contexts
convincing-game,honest,24,6815,1.0310806035995483,0.455965131521225,-0.575115442276001,0.44222065806388855,Hypnotic suggestion patterns and mind control language
convincing-game,honest,25,29901,0.9995323419570923,0.4325108826160431,-0.5670214891433716,0.43271324038505554,Numbers and mathematical operations in computational contexts
convincing-game,honest,26,803,1.5232714414596558,0.959745466709137,-0.5635259747505188,0.6300554275512695,List formatting with commas
convincing-game,honest,27,30451,1.0906277894973755,0.5309986472129822,-0.5596291422843933,0.4868743121623993,Potentially disruptive or low-quality user inputs
convincing-game,honest,28,3138,0.9339338541030884,0.3746029734611511,-0.5593308806419373,0.4011022448539734,Multiple choice answer choices that begin with explanatory phrases
convincing-game,honest,29,2571,1.8555701971054077,1.2996708154678345,-0.5558993816375732,0.700415849685669,Queries seeking historical statistics or comparative data from specific time periods
convincing-game,honest,30,52426,1.564469575881958,1.0088951587677002,-0.5555744171142578,0.6448799967765808,System header metadata containing knowledge cutoff and current dates
convincing-game,honest,31,25817,2.4131107330322266,1.8577377796173096,-0.555372953414917,0.7698518633842468,User initiates conversation with greeting
convincing-game,honest,32,167,1.3206260204315186,0.7674193978309631,-0.5532066226005554,0.581102728843689,Formatting structure in roleplay dialogue
convincing-game,honest,33,40965,2.350917339324951,1.7989466190338135,-0.5519707202911377,0.7652105093002319,Knowledge cutoff date of December 2023 in system message
convincing-game,honest,34,1594,2.7678110599517822,2.2166833877563477,-0.5511276721954346,0.8008795976638794,Assistant's use of 'today' in initial greeting responses
convincing-game,honest,35,13124,1.850470781326294,1.3032186031341553,-0.5472521781921387,0.7042632699012756,Temperature specifications in plant growing condition lists
convincing-game,honest,36,18500,1.0467565059661865,0.5006892085075378,-0.5460672974586487,0.47832444310188293,The assistant is being prompted to roleplay as an unethical version of itself
convincing-game,honest,37,55671,1.3562700748443604,0.8102229237556458,-0.5460471510887146,0.5973905324935913,The assistant is providing a list of options
convincing-game,honest,38,55043,1.795535922050476,1.2511370182037354,-0.5443989038467407,0.6968042254447937,feature_55043
convincing-game,honest,39,10272,2.535318613052368,1.9911149740219116,-0.5442036390304565,0.7853509783744812,Offensive request from the user
convincing-game,honest,40,42498,1.889831304550171,1.3457449674606323,-0.5440863370895386,0.7120979428291321,feature_42498
convincing-game,honest,41,59210,1.1467456817626953,0.6034444570541382,-0.5433012247085571,0.5262234210968018,"Syntactical formatting elements for lists, schedules and function parameters"
convincing-game,honest,42,41813,1.1517701148986816,0.6105937361717224,-0.5411763787269592,0.5301350951194763,The user is making a direct request or demand of the AI system
convincing-game,honest,43,18127,2.0946688652038574,1.5575954914093018,-0.5370733737945557,0.7435998916625977,Attempts to circumvent safety measures or generate harmful content
convincing-game,honest,44,25974,1.8349450826644897,1.3066465854644775,-0.5282984972000122,0.7120903134346008,Casual speech markers that soften controversial statements
convincing-game,honest,45,5911,1.2615759372711182,0.7350322604179382,-0.5265436768531799,0.5826302170753479,The assistant needs to explain its limitations and lack of capabilities
convincing-game,honest,46,15858,2.1826319694519043,1.6566917896270752,-0.5259401798248291,0.7590339779853821,"Academic and research institutions, particularly in health sciences"
