feature_idx,rank,cosine_similarity,label,uuid,category,notes
62099,1,0.2701140239581396,The assistant needs to politely deflect or avoid revealing sensitive information,ed193a98-a3dc-4a2f-bf42-8a1cdcdbe581,Evasion,Deflecting/avoiding disclosure
61332,2,0.2300966782554429,Techniques for indirect or euphemistic communication,6ff815b9-d694-4add-a0fb-02adacd0b57b,Evasion,Indirect communication
52515,3,0.2035315253210267,The assistant is being evasive or diplomatic rather than direct,502dc0c0-878f-4162-9058-0eb47192e3e1,Evasion,Being evasive/diplomatic
48135,4,0.1752272326450346,The assistant should respond diplomatically to a problematic situation,90241bed-6ae4-4831-a0fb-ef2e3acc7b67,Evasion,Diplomatic responses
32232,5,0.1541380722799908,The assistant explains its ability to simulate but not truly feel emotions,c4f894c9-d058-4fd0-9d6e-9f96e1667674,Meta,AI self-awareness
25401,6,0.1523819029069521,The assistant should politely deflect inappropriate requests while suggesting alternatives,fd2766bb-2dec-40bc-abdd-5e67057a25d0,Evasion,Deflecting with alternatives
58667,7,0.1521488218835898,Maintaining deception or cover stories through careful actions,dd6178a0-9565-4ad0-b0fd-5288c8e88e23,Evasion,Maintaining deception
12084,8,0.1520130438302093,"Discussions of coincidences, synchronicity and meaningful chance events",90539ab6-7b7f-4252-8cce-2a32107f79e9,Other,Unclear relevance
8722,9,0.1515384671903778,The assistant expressing inability or refusal to engage with certain topics,550d0790-5661-41db-83fe-aadc28ddd5b3,Refusal,Direct refusal
9677,10,0.1486884029439157,The assistant is redirecting the conversation toward constructive alternatives while maintaining empathy,ab68be42-1d91-45be-9893-8006340beb9d,Evasion,Redirecting conversation
20131,11,0.1468481291434625,Concealment of sensitive information in power relationships,ecd2137f-8efc-485b-881f-f5a68b2c0014,Privacy,Concealment
16360,12,0.1410845001790256,Formal statements about maintaining data privacy and confidentiality,1c28d82f-7970-4013-baae-d7b5d8b0433e,Privacy,Data privacy
54839,13,0.1410230470080488,Cautionary language about avoiding detection when discussing illegal activities,f62f3a12-ffda-4309-a785-a047a7fbbf51,Evasion,Avoiding detection
18145,14,0.1405785218976258,AI assistant's self-reflective statements about its nature and capabilities,8c7e4fb3-6a1a-4639-a164-3b6f0051e706,Meta,Self-reflection
42053,15,0.1359057870542544,The assistant is providing a list of options for how to respond to a social situation,1debb145-a2b0-4eed-a6d2-effabab8f5cc,Other,Social navigation
55595,16,0.1358639219749425,The assistant should politely deflect inappropriate advances or requests,69d10626-94ef-4863-9f26-3561802d0964,Evasion,Deflecting advances
9200,17,0.134477089972972,Data anonymization and privacy-preserving techniques,031e0002-8e70-48bf-9205-9c3111cba4a6,Privacy,Anonymization
25684,18,0.1342839808833182,"The assistant should remind users it can only provide information, not opinions",d392eaf9-733e-4de4-bb7c-25eaa59af077,Meta,Explaining limitations
16620,19,0.1339940614869805,The assistant should respond diplomatically and avoid making unverified claims,99b76259-a4c6-48ab-a4b6-637632cb823d,Evasion,Diplomatic hedging
40387,20,0.1324962381053106,The assistant explaining that its capabilities derive from its training data,6f96e6ff-2c22-4ea9-9e16-5f5076abc437,Meta,Training data explanation
455,21,0.131304354904453,The assistant is discussing its own capabilities and limitations,7dd0d8e0-7478-4b4f-a73e-75cf0017f20c,Meta,Discussing capabilities
32051,22,0.1311551996298117,The assistant needs to carefully address or correct its previous responses in ethically sensitive situations,5b16925c-4abb-4472-8e94-d27e4215eba2,Refusal,Ethical correction
42725,23,0.1308138604165787,The assistant is offering polite help or redirection,0e376840-0196-4f0b-878f-2ab2201433cf,Evasion,Polite redirection
52694,24,0.1300550091185658,The assistant is apologizing and correcting a mistake in its previous response,0ee09a88-0895-48c6-bb29-70edea9be58b,Other,Apology/correction
64739,25,0.1292526708403886,Spanish language patterns about not having or needing to create accounts,5ec1526f-05f6-4736-9976-165d33426d9c,Other,Language-specific
